Tm,G,PA,Ply,Y/P,Year
New York Giants,16.0,211.0,914.0,4.6,1990
San Francisco 49ers,16.0,239.0,919.0,4.6,1990
Pittsburgh Steelers,16.0,240.0,940.0,4.4,1990
Miami Dolphins,16.0,242.0,968.0,4.7,1990
Kansas City Chiefs,16.0,257.0,945.0,5.2,1990
Buffalo Bills,16.0,263.0,981.0,4.7,1990
Los Angeles Raiders,16.0,268.0,924.0,4.8,1990
New Orleans Saints,16.0,275.0,986.0,4.9,1990
Chicago Bears,16.0,280.0,927.0,4.8,1990
San Diego Chargers,16.0,281.0,931.0,4.8,1990
Seattle Seahawks,16.0,286.0,950.0,4.9,1990
Philadelphia Eagles,16.0,299.0,948.0,4.9,1990
Washington Redskins,16.0,301.0,941.0,5.0,1990
Houston Oilers,16.0,307.0,890.0,5.2,1990
Dallas Cowboys,16.0,308.0,988.0,4.7,1990
Minnesota Vikings,16.0,326.0,972.0,4.9,1990
New York Jets,16.0,345.0,977.0,5.6,1990
Green Bay Packers,16.0,347.0,981.0,5.5,1990
Cincinnati Bengals,16.0,352.0,1010.0,5.5,1990
Indianapolis Colts,16.0,353.0,1034.0,5.4,1990
Atlanta Falcons,16.0,365.0,983.0,5.4,1990
Tampa Bay Buccaneers,16.0,367.0,1001.0,5.5,1990
Denver Broncos,16.0,374.0,969.0,5.5,1990
Phoenix Cardinals,16.0,396.0,959.0,5.4,1990
Los Angeles Rams,16.0,412.0,949.0,5.7,1990
Detroit Lions,16.0,413.0,1080.0,5.3,1990
New England Patriots,16.0,446.0,972.0,5.9,1990
Cleveland Browns,16.0,462.0,987.0,5.3,1990
Avg Team,,322.0,965.2,5.1,1990
League Total,,9015.0,27026.0,5.1,1990
Avg Tm/G,,20.1,60.3,5.1,1990
New Orleans Saints,16.0,211.0,875.0,4.5,1991
Washington Redskins,16.0,224.0,946.0,4.5,1991
Denver Broncos,16.0,235.0,939.0,4.8,1991
San Francisco 49ers,16.0,239.0,929.0,4.9,1991
Philadelphia Eagles,16.0,244.0,905.0,3.9,1991
Houston Oilers,16.0,251.0,984.0,4.8,1991
Kansas City Chiefs,16.0,252.0,927.0,5.4,1991
Seattle Seahawks,16.0,261.0,988.0,4.8,1991
Chicago Bears,16.0,269.0,942.0,4.8,1991
New York Jets,16.0,293.0,954.0,5.2,1991
Detroit Lions,16.0,295.0,1008.0,5.0,1991
Los Angeles Raiders,16.0,297.0,1002.0,5.2,1991
New York Giants,16.0,297.0,888.0,5.2,1991
Cleveland Browns,16.0,298.0,1004.0,5.1,1991
New England Patriots,16.0,305.0,1050.0,5.2,1991
Minnesota Vikings,16.0,306.0,988.0,5.1,1991
Dallas Cowboys,16.0,310.0,963.0,5.3,1991
Green Bay Packers,16.0,313.0,1033.0,4.7,1991
Buffalo Bills,16.0,318.0,1086.0,5.0,1991
Atlanta Falcons,16.0,338.0,976.0,5.4,1991
San Diego Chargers,16.0,342.0,961.0,5.3,1991
Pittsburgh Steelers,16.0,344.0,1039.0,5.0,1991
Phoenix Cardinals,16.0,344.0,965.0,5.2,1991
Miami Dolphins,16.0,349.0,1019.0,5.3,1991
Tampa Bay Buccaneers,16.0,365.0,989.0,5.0,1991
Indianapolis Colts,16.0,381.0,961.0,5.3,1991
Los Angeles Rams,16.0,390.0,920.0,5.7,1991
Cincinnati Bengals,16.0,435.0,980.0,5.8,1991
Avg Team,,303.8,972.2,5.0,1991
League Total,,8506.0,27221.0,5.0,1991
Avg Tm/G,,19.0,60.8,5.0,1991
New Orleans Saints,16.0,202.0,949.0,4.3,1992
Pittsburgh Steelers,16.0,225.0,949.0,4.9,1992
San Francisco 49ers,16.0,236.0,943.0,5.1,1992
