Year,Player,Age,Pred_Att,Actual_Att,Pred_Yds,Actual_Yds,Pred_TD,Actual_TD,Att_Error,Yds_Error,TD_Error,Att_Error_Pct,Yds_Error_Pct
2022,Najee Harris,24,244,272,898,1034,8,7,28,136,1,10.3,13.2
2022,Jonathan Taylor,23,236,192,1063,861,7,4,44,202,3,22.9,23.5
2022,Joe Mixon,26,213,210,856,814,7,7,3,42,0,1.4,5.2
2022,Antonio Gibson,24,168,149,666,546,4,3,19,120,1,12.8,22.0
2022,Alvin Kamara,27,198,223,819,897,3,2,25,78,1,11.2,8.7
2022,Ezekiel Elliott,27,195,231,763,876,8,12,36,113,4,15.6,12.9
2022,Dalvin Cook,27,235,264,1009,1173,6,8,29,164,2,11.0,14.0
2022,Austin Ekeler,27,182,204,813,915,9,13,22,102,4,10.8,11.1
2022,Josh Jacobs,24,252,340,1151,1653,8,12,88,502,4,25.9,30.4
2022,David Montgomery,25,197,201,794,801,5,5,4,7,0,2.0,0.9
2022,Leonard Fournette,27,193,189,752,668,5,3,4,84,2,2.1,12.6
2022,Nick Chubb,27,254,302,1215,1525,8,12,48,310,4,15.9,20.3
2022,Javonte Williams,22,162,47,697,204,4,0,115,493,4,244.7,241.7
2022,James Conner,27,167,183,697,782,6,7,16,85,1,8.7,10.9
2022,Derrick Henry,28,285,349,1250,1538,10,13,64,288,3,18.3,18.7
2022,Melvin Gordon,29,116,90,473,318,3,2,26,155,1,28.9,48.7
2022,Sony Michel,27,82,36,306,106,2,0,46,200,2,127.8,188.7
2022,Devin Singletary,25,162,177,706,819,4,5,15,113,1,8.5,13.8
2022,Elijah Mitchell,24,234,45,1051,279,6,2,189,772,4,420.0,276.7
2022,Aaron Jones,28,174,213,871,1121,3,2,39,250,1,18.3,22.3
2022,Myles Gaskin,25,54,10,211,26,1,0,44,185,1,440.0,711.5
2022,AJ Dillon,24,169,186,707,770,5,7,17,63,2,9.1,8.2
2022,Damien Harris,25,136,106,595,462,5,3,30,133,2,28.3,28.8
2022,D'Andre Swift,23,119,99,568,542,4,5,20,26,1,20.2,4.8
2022,Cordarrelle Patterson,31,126,144,585,695,5,8,18,110,3,12.5,15.8
2023,Josh Jacobs,25,254,233,997,805,7,6,21,192,1,9.0,23.9
2023,Derrick Henry,29,276,280,1149,1167,10,12,4,18,2,1.4,1.5
2023,Saquon Barkley,26,246,247,992,962,6,6,1,30,0,0.4,3.1
2023,Nick Chubb,28,133,28,598,170,3,0,105,428,3,375.0,251.8
2023,Christian McCaffrey,27,232,272,1147,1459,10,14,40,312,4,14.7,21.4
2023,Najee Harris,25,218,255,856,1035,6,8,37,179,2,14.5,17.3
2023,Austin Ekeler,28,175,179,705,628,6,5,4,77,1,2.2,12.3
2023,Dalvin Cook,28,136,67,513,214,2,0,69,299,2,103.0,139.7
2023,Christian McCaffrey,27,178,272,840,1459,5,14,94,619,9,34.6,42.4
2023,Alvin Kamara,28,178,180,724,694,4,5,2,30,1,1.1,4.3
2023,Miles Sanders,26,155,129,613,432,3,1,26,181,2,20.2,41.9
2023,Rhamondre Stevenson,25,161,156,676,619,4,4,5,57,0,3.2,9.2
2023,Christian McCaffrey,27,180,272,807,1459,5,14,92,652,9,33.8,44.7
2023,Jamaal Williams,28,136,106,484,306,3,1,30,178,2,28.3,58.2
2023,Aaron Jones,29,162,142,740,656,3,2,20,84,1,14.1,12.8
2023,Joe Mixon,27,220,257,882,1034,6,9,37,152,3,14.4,14.7
2023,Leonard Fournette,28,83,12,331,40,2,0,71,291,2,591.7,727.5
2023,Kenneth Walker III,23,178,219,741,905,4,8,41,164,4,18.7,18.1
2023,Travis Etienne,24,173,267,709,1008,4,11,94,299,7,35.2,29.7
2023,Dameon Pierce,23,171,145,715,416,4,2,26,299,2,17.9,71.9
2023,Ezekiel Elliott,28,163,184,581,642,4,3,21,61,1,11.4,9.5
2023,Christian McCaffrey,27,184,272,813,1459,7,14,88,646,7,32.4,44.3
2023,David Montgomery,26,176,219,774,1015,8,13,43,241,5,19.6,23.7
2023,Tony Pollard,26,205,252,849,1005,5,6,47,156,1,18.7,15.5
2023,James Conner,28,180,208,847,1040,5,7,28,193,2,13.5,18.6
