Player,Rec_Rec,Rec_Yds,Rec_TD,Rec_Y/R,Year
Keith Byars,81.0,819.0,3.0,10.1,1990
John Williams,73.0,699.0,0.0,9.6,1990
Albert Bentley,71.0,664.0,2.0,9.4,1990
Eric Metcalf,57.0,452.0,1.0,7.9,1990
Thurman Thomas,49.0,532.0,2.0,10.9,1990
Tom Rathman,48.0,327.0,0.0,6.8,1990
Buford McGee,47.0,388.0,4.0,8.3,1990
Brad Muster,47.0,452.0,0.0,9.6,1990
Ronnie Harmon,46.0,511.0,2.0,11.1,1990
Neal Anderson,42.0,484.0,3.0,11.5,1990
Kevin Mack,42.0,360.0,2.0,8.6,1990
Merril Hoge,40.0,342.0,3.0,8.6,1990
Todd McNair,40.0,507.0,2.0,12.7,1990
Reggie Cobb,39.0,299.0,0.0,7.7,1990
Dave Meggett,39.0,410.0,1.0,10.5,1990
Lorenzo White,39.0,368.0,4.0,9.4,1990
Gary Anderson,38.0,464.0,2.0,12.2,1990
Barry Sanders,36.0,480.0,3.0,13.3,1990
Tony Paige,35.0,247.0,4.0,7.1,1990
Herschel Walker,35.0,315.0,4.0,9.0,1990
Rodney Hampton,32.0,274.0,2.0,8.6,1990
Earnest Byner,31.0,279.0,1.0,9.0,1990
Herman Fontenot,31.0,293.0,1.0,9.5,1990
Tommie Agee,30.0,272.0,1.0,9.1,1990
Cleveland Gary,30.0,150.0,1.0,5.0,1990
Troy Stradford,30.0,257.0,0.0,8.6,1990
Mel Bratton,29.0,276.0,1.0,9.5,1990
Craig McEwen,29.0,325.0,3.0,11.2,1990
John Stephens,28.0,196.0,1.0,7.0,1990
James Brooks,26.0,269.0,4.0,10.3,1990
Kelvin Bryant,26.0,248.0,1.0,9.5,1990
Steve Sewell,26.0,268.0,0.0,10.3,1990
Dexter Carter,25.0,217.0,0.0,8.7,1990
Roger Craig,25.0,201.0,0.0,8.0,1990
Johnny Johnson,25.0,241.0,0.0,9.6,1990
Steve Broussard,24.0,160.0,0.0,6.7,1990
Bobby Humphrey,24.0,152.0,0.0,6.3,1990
Emmitt Smith,24.0,228.0,0.0,9.5,1990
Keith Woodside,24.0,184.0,0.0,7.7,1990
Heath Sherman,23.0,167.0,3.0,7.3,1990
Don Smith,21.0,225.0,0.0,10.7,1990
Blair Thomas,20.0,204.0,1.0,10.2,1990
Ickey Woods,20.0,162.0,0.0,8.1,1990
Bill Jones,19.0,137.0,5.0,7.2,1990
Ottis Anderson,18.0,139.0,0.0,7.7,1990
Eric Dickerson,18.0,92.0,0.0,5.1,1990
Gill Fenerty,18.0,209.0,0.0,11.6,1990
Craig Heyward,18.0,121.0,0.0,6.7,1990
Derrick Fenner,17.0,143.0,1.0,8.4,1990
Rick Fenney,17.0,112.0,0.0,6.6,1990
Anthony Toney,17.0,133.0,3.0,7.8,1990
Sammy Winder,17.0,145.0,0.0,8.5,1990
George Adams,16.0,146.0,1.0,9.1,1990
Marion Butts,16.0,117.0,0.0,7.3,1990
Freeman McNeil,16.0,230.0,0.0,14.4,1990
Jamie Mueller,16.0,106.0,1.0,6.6,1990
Marcus Allen,15.0,189.0,1.0,12.6,1990
Robert Delpino,15.0,172.0,4.0,11.5,1990
Bob Perryman,15.0,88.0,0.0,5.9,1990
Maurice Carthon,14.0,151.0,0.0,10.8,1990
Dalton Hilliard,14.0,125.0,1.0,8.9,1990
Daryl Johnston,14.0,148.0,1.0,10.6,1990
Alfred Anderson,13.0,80.0,0.0,6.2,1990
Terrence Flagler,13.0,130.0,1.0,10.0,1990
Michael Haddix,13.0,94.0,2.0,7.2,1990
Keith Jones,13.0,103.0,0.0,7.9,1990
Mike Rozier,13.0,105.0,0.0,8.1,1990
Mike Rozier,5.0,46.0,0.0,9.2,1990
Mike Rozier,8.0,59.0,0.0,7.4,1990
Richard Bell,12.0,137.0,1.0,11.4,1990
Harold Green,12.0,90.0,1.0,7.5,1990
Rueben Mayes,12.0,121.0,0.0,10.1,1990
John Harvey,11.0,86.0,1.0,7.8,1990
Allen Pinkett,11.0,85.0,0.0,7.7,1990
Sammie Smith,11.0,134.0,1.0,12.2,1990
Leroy Hoard,10.0,73.0,0.0,7.3,1990
Tracy Johnson,10.0,79.0,1.0,7.9,1990
Harry Sydney,10.0,116.0,1.0,11.6,1990
Kenneth Davis,9.0,78.0,1.0,8.7,1990
Brad Baxter,8.0,73.0,0.0,9.1,1990
Rod Bernstine,8.0,40.0,0.0,5.0,1990
Johnny Hector,8.0,72.0,0.0,9.0,1990
Bruce Perkins,8.0,85.0,2.0,10.6,1990
Lewis Tillman,8.0,18.0,0.0,2.3,1990
Tim Worley,8.0,70.0,0.0,8.8,1990
Derrick Gainer,7.0,85.0,0.0,12.1,1990
Marc Logan,7.0,54.0,0.0,7.7,1990
Gerald Riggs,7.0,60.0,0.0,8.6,1990
Vai Sikahema,7.0,51.0,0.0,7.3,1990
Marvin Allen,6.0,48.0,0.0,8.0,1990
Bo Jackson,6.0,68.0,0.0,11.3,1990
Ken Clark,5.0,23.0,0.0,4.6,1990
Robert Drummond,5.0,39.0,0.0,7.8,1990
Anthony Johnson,5.0,32.0,2.0,6.4,1990
Warren Williams,5.0,42.0,1.0,8.4,1990
Mark Green,4.0,26.0,1.0,6.5,1990
Keith Henderson,4.0,35.0,0.0,8.8,1990
Stanford Jennings,4.0,23.0,0.0,5.8,1990
Garrett Limbrick,4.0,23.0,0.0,5.8,1990
Darrin Nelson,4.0,29.0,0.0,7.3,1990
Christian Okoye,4.0,23.0,0.0,5.8,1990
Kerry Porter,4.0,44.0,0.0,11.0,1990
Allen Rice,4.0,46.0,0.0,11.5,1990
Steve Smith,4.0,30.0,3.0,7.5,1990
Barry Word,4.0,28.0,0.0,7.0,1990
Vince Workman,4.0,30.0,1.0,7.5,1990
Brent Fullwood,3.0,17.0,0.0,5.7,1990
Alonzo Highsmith,3.0,13.0,0.0,4.3,1990
Craig Taylor,3.0,22.0,1.0,7.3,1990
Darrell Thompson,3.0,1.0,0.0,0.3,1990
Eric Ball,2.0,46.0,1.0,23.0,1990
James Dixon,2.0,26.0,0.0,13.0,1990
Gaston Green,2.0,23.0,1.0,11.5,1990
Brian Mitchell,2.0,5.0,0.0,2.5,1990
Don Overton,2.0,19.0,0.0,9.5,1990
Thomas Sanders,2.0,20.0,0.0,10.0,1990
Mosi Tatupu,2.0,10.0,0.0,5.0,1990
Anthony Thompson,2.0,11.0,0.0,5.5,1990
Greg Bell,1.0,7.0,0.0,7.0,1990
Jessie Clark,1.0,4.0,0.0,4.0,1990
D.J. Dozier,1.0,12.0,0.0,12.0,1990
Barry Foster,1.0,2.0,0.0,2.0,1990
James Jones,1.0,22.0,0.0,22.0,1990
Gene Lang,1.0,7.0,0.0,7.0,1990
Lee Rouson,1.0,12.0,0.0,12.0,1990
James Saxon,1.0,5.0,0.0,5.0,1990
James Wilder,1.0,8.0,1.0,8.0,1990
Johnny Bailey,0.0,0.0,0.0,0.0,1990
A.B. Brown,0.0,0.0,0.0,0.0,1990
Reggie Dupard,0.0,0.0,0.0,0.0,1990
Marcus Dupree,0.0,0.0,0.0,0.0,1990
Blake Ezor,0.0,0.0,0.0,0.0,1990
Carwell Gardner,0.0,0.0,0.0,0.0,1990
Mark Higgs,0.0,0.0,0.0,0.0,1990
Victor Jones,0.0,0.0,0.0,0.0,1990
Larry Kinnebrew,0.0,0.0,0.0,0.0,1990
Derek Loville,0.0,0.0,0.0,0.0,1990
Napoleon McCallum,0.0,0.0,0.0,0.0,1990
Jamie Morris,0.0,0.0,0.0,0.0,1990
Vance Mueller,0.0,0.0,0.0,0.0,1990
Mike Pringle,0.0,0.0,0.0,0.0,1990
Barry Redden,0.0,0.0,0.0,0.0,1990
James Rouse,0.0,0.0,0.0,0.0,1990
John Settle,0.0,0.0,0.0,0.0,1990
Cedric Smith,0.0,0.0,0.0,0.0,1990
Timmy Smith,0.0,0.0,0.0,0.0,1990
Lars Tate,0.0,0.0,0.0,0.0,1990
Roger Vick,0.0,0.0,0.0,0.0,1990
Curt Warner,0.0,0.0,0.0,0.0,1990
Chris Warren,0.0,0.0,0.0,0.0,1990
Ron Wolfley,0.0,0.0,0.0,0.0,1990
