Player,Rec_Tgt,Rec_Rec,Rec_Yds,Rec_TD,Rec_Y/R,Rec_Y/Tgt,Year
Marshall Faulk,106.0,86.0,908.0,4.0,10.6,8.6,1998
Larry Centers,94.0,69.0,559.0,2.0,8.1,5.9,1998
Kimble Anders,84.0,64.0,462.0,2.0,7.2,5.5,1998
Amp Lee,84.0,64.0,667.0,2.0,10.4,7.9,1998
Duce Staley,70.0,57.0,432.0,1.0,7.6,6.2,1998
Ricky Watters,73.0,52.0,373.0,0.0,7.2,5.1,1998
Warrick Dunn,57.0,44.0,344.0,0.0,7.8,6.0,1998
Brian Mitchell,62.0,44.0,306.0,0.0,7.0,4.9,1998
Fred Taylor,53.0,44.0,421.0,3.0,9.6,7.9,1998
Priest Holmes,62.0,43.0,260.0,0.0,6.0,4.2,1998
Curtis Martin,57.0,43.0,365.0,1.0,8.5,6.4,1998
Tiki Barber,59.0,42.0,348.0,3.0,8.3,5.9,1998
Garrison Hearst,56.0,39.0,535.0,2.0,13.7,9.6,1998
Eddie George,49.0,37.0,310.0,1.0,8.4,6.3,1998
William Henderson,49.0,37.0,241.0,1.0,6.5,4.9,1998
Barry Sanders,57.0,37.0,289.0,0.0,7.8,5.1,1998
Robert Edwards,52.0,35.0,331.0,3.0,9.5,6.4,1998
June Henley,45.0,35.0,252.0,0.0,7.2,5.6,1998
Kevin Turner,59.0,34.0,232.0,0.0,6.8,3.9,1998
Aaron Craver,47.0,33.0,214.0,2.0,6.5,4.6,1998
Eric Metcalf,49.0,31.0,324.0,0.0,10.5,6.6,1998
Charles Way,40.0,31.0,131.0,1.0,4.2,3.3,1998
Terrell Fletcher,43.0,30.0,188.0,0.0,6.3,4.4,1998
Roosevelt Potts,38.0,30.0,168.0,2.0,5.6,4.4,1998
Jon Ritchie,47.0,29.0,225.0,0.0,7.8,4.8,1998
Edgar Bennett,44.0,28.0,209.0,0.0,7.5,4.8,1998
Corey Dillon,44.0,28.0,178.0,1.0,6.4,4.0,1998
Robert Smith,35.0,28.0,291.0,2.0,10.4,8.3,1998
Jamal Anderson,46.0,27.0,319.0,2.0,11.8,6.9,1998
Eric Bieniemy,35.0,27.0,153.0,0.0,5.7,4.4,1998
Anthony Johnson,35.0,27.0,242.0,1.0,9.0,6.9,1998
Dorsey Levens,30.0,27.0,162.0,0.0,6.0,5.4,1998
Emmitt Smith,32.0,27.0,175.0,2.0,6.5,5.5,1998
Keith Byars,40.0,26.0,258.0,3.0,9.9,6.5,1998
Brian Milne,39.0,26.0,124.0,0.0,4.8,3.2,1998
Thurman Thomas,32.0,26.0,220.0,1.0,8.5,6.9,1998
Harvey Williams,39.0,26.0,173.0,0.0,6.7,4.4,1998
Terrell Davis,38.0,25.0,217.0,2.0,8.7,5.7,1998
Ty Hallock,35.0,25.0,166.0,0.0,6.6,4.7,1998
Napoleon Kaufman,36.0,25.0,191.0,0.0,7.6,5.3,1998
William Floyd,37.0,24.0,123.0,1.0,5.1,3.3,1998
Lamar Smith,36.0,24.0,249.0,2.0,10.4,6.9,1998
Mike Alstott,30.0,22.0,152.0,1.0,6.9,5.1,1998
Marc Edwards,32.0,22.0,218.0,2.0,9.9,6.8,1998
Leroy Hoard,26.0,22.0,198.0,1.0,9.0,7.6,1998
Karim Abdul-Jabbar,31.0,21.0,102.0,0.0,4.9,3.3,1998
Stephen Davis,31.0,21.0,263.0,2.0,12.5,8.5,1998
Bernie Parmalee,25.0,21.0,221.0,0.0,10.5,8.8,1998
Darick Holmes,24.0,20.0,188.0,0.0,9.4,7.8,1998
Darick Holmes,3.0,1.0,9.0,0.0,9.0,3.0,1998
Darick Holmes,21.0,19.0,179.0,0.0,9.4,8.5,1998
Bob Christian,28.0,19.0,214.0,1.0,11.3,7.6,1998
Charlie Garner,25.0,19.0,110.0,0.0,5.8,4.4,1998
Sam Gash,21.0,19.0,165.0,3.0,8.7,7.9,1998
Tony Carter,25.0,18.0,166.0,0.0,9.2,6.6,1998
Daryl Johnston,23.0,18.0,60.0,1.0,3.3,2.6,1998
Adrian Murrell,27.0,18.0,169.0,2.0,9.4,6.3,1998
