Player,Age,Tm,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Fmb,Awards,Year
Thurman Thomas,27.0,BUF,RB,16.0,16.0,355.0,1315.0,6.0,27.0,3.7,82.2,22.2,6.0,"PB,AP-2",1993
Leonard Russell,24.0,NWE,RB,16.0,15.0,300.0,1088.0,7.0,21.0,3.6,68.0,18.8,4.0,,1993
Jerome Bettis,21.0,RAM,RB,16.0,12.0,294.0,1429.0,7.0,71.0,4.9,89.3,18.4,4.0,"PB,AP-1,AP ORoY-1",1993
Rodney Hampton,24.0,NYG,RB,12.0,10.0,292.0,1077.0,5.0,20.0,3.7,89.8,24.3,2.0,PB,1993
Erric Pegram,24.0,ATL,RB,16.0,14.0,292.0,1185.0,3.0,29.0,4.1,74.1,18.3,6.0,,1993
Emmitt Smith,24.0,DAL,RB,14.0,13.0,283.0,1486.0,9.0,62.0,5.3,106.1,20.2,4.0,"PB,AP-1,AP MVP-1,AP OPoY-3",1993
Chris Warren,25.0,SEA,RB,14.0,14.0,273.0,1072.0,7.0,45.0,3.9,76.6,19.5,3.0,PB,1993
Ronald Moore,23.0,PHO,RB,16.0,11.0,263.0,1018.0,9.0,20.0,3.9,63.6,16.4,3.0,,1993
Barry Sanders,25.0,DET,RB,11.0,11.0,243.0,1115.0,3.0,42.0,4.6,101.4,22.1,3.0,"PB,AP-2",1993
Rod Bernstine,28.0,DEN,RB,15.0,14.0,223.0,816.0,4.0,24.0,3.7,54.4,14.9,3.0,,1993
Reggie Brooks,22.0,WAS,RB,16.0,11.0,223.0,1063.0,3.0,85.0,4.8,66.4,13.9,4.0,AP ORoY-3,1993
Reggie Cobb,25.0,TAM,RB,12.0,10.0,221.0,658.0,3.0,16.0,3.0,54.8,18.4,5.0,,1993
Harold Green,25.0,CIN,RB,15.0,15.0,215.0,589.0,0.0,25.0,2.7,39.3,14.3,3.0,,1993
Ricky Watters,24.0,SFO,RB,13.0,13.0,208.0,950.0,10.0,39.0,4.6,73.1,16.0,5.0,PB,1993
Marcus Allen,33.0,KAN,RB,16.0,10.0,206.0,764.0,12.0,39.0,3.7,47.8,12.9,4.0,"PB,AP MVP-6",1993
Leroy Thompson,24.0,PIT,RB,15.0,6.0,205.0,763.0,3.0,36.0,3.7,50.9,13.7,7.0,,1993
Neal Anderson,29.0,CHI,RB,15.0,11.0,202.0,646.0,4.0,45.0,3.2,43.1,13.5,2.0,,1993
Johnny Johnson,25.0,NYJ,RB,15.0,9.0,198.0,821.0,3.0,57.0,4.1,54.7,13.2,5.0,,1993
Gary Brown,24.0,HOU,RB,16.0,8.0,195.0,1002.0,6.0,26.0,5.1,62.6,12.2,4.0,,1993
Mark Higgs,27.0,MIA,RB,16.0,8.0,186.0,693.0,3.0,31.0,3.7,43.3,11.6,1.0,,1993
Marion Butts,27.0,SDG,RB,16.0,16.0,185.0,746.0,4.0,27.0,4.0,46.6,11.6,0.0,,1993
Derek Brown,22.0,NOR,RB,13.0,12.0,180.0,705.0,2.0,60.0,3.9,54.2,13.8,1.0,,1993
Roosevelt Potts,22.0,IND,RB,16.0,15.0,179.0,711.0,0.0,34.0,4.0,44.4,11.2,8.0,,1993
Barry Foster,25.0,PIT,RB,9.0,9.0,177.0,711.0,8.0,38.0,4.0,79.0,19.7,3.0,PB,1993
Brad Baxter,26.0,NYJ,FB,16.0,13.0,174.0,559.0,7.0,16.0,3.2,34.9,10.9,3.0,,1993
Herschel Walker,31.0,PHI,RB,16.0,16.0,174.0,746.0,1.0,35.0,4.3,46.6,10.9,3.0,,1993
Tommy Vardell,24.0,CLE,FB,16.0,12.0,171.0,644.0,3.0,54.0,3.8,40.3,10.7,3.0,,1993
Darrell Thompson,26.0,GNB,RB,16.0,11.0,169.0,654.0,3.0,60.0,3.9,40.9,10.6,2.0,,1993
Natrone Means,21.0,SDG,RB,16.0,0.0,160.0,645.0,8.0,65.0,4.0,40.3,10.0,1.0,,1993
