Tm,G,PA,Ply,Y/P,Year
New England Patriots,16.0,238.0,1060.0,4.4,2003
Dallas Cowboys,16.0,260.0,937.0,4.3,2003
Miami Dolphins,16.0,261.0,1014.0,4.7,2003
Tampa Bay Buccaneers,16.0,264.0,962.0,4.6,2003
Buffalo Bills,16.0,279.0,1010.0,4.3,2003
Baltimore Ravens,16.0,281.0,1026.0,4.2,2003
Philadelphia Eagles,16.0,287.0,1058.0,5.0,2003
New York Jets,16.0,299.0,1032.0,5.2,2003
Denver Broncos,16.0,301.0,910.0,4.9,2003
Carolina Panthers,16.0,304.0,996.0,4.7,2003
Green Bay Packers,16.0,307.0,1036.0,4.9,2003
Cleveland Browns,16.0,322.0,994.0,5.0,2003
Tennessee Titans,16.0,324.0,926.0,5.3,2003
New Orleans Saints,16.0,326.0,997.0,5.2,2003
Seattle Seahawks,16.0,327.0,1069.0,4.9,2003
Pittsburgh Steelers,16.0,327.0,968.0,4.9,2003
St. Louis Rams,16.0,328.0,964.0,5.2,2003
Jacksonville Jaguars,16.0,331.0,976.0,4.8,2003
Kansas City Chiefs,16.0,332.0,1054.0,5.4,2003
Indianapolis Colts,16.0,336.0,913.0,5.2,2003
San Francisco 49ers,16.0,337.0,976.0,5.0,2003
Chicago Bears,16.0,346.0,992.0,5.0,2003
Minnesota Vikings,16.0,353.0,955.0,5.6,2003
Washington Redskins,16.0,372.0,1014.0,5.3,2003
Oakland Raiders,16.0,379.0,1036.0,5.7,2003
Detroit Lions,16.0,379.0,997.0,5.4,2003
Houston Texans,16.0,380.0,1054.0,5.8,2003
Cincinnati Bengals,16.0,384.0,999.0,5.6,2003
New York Giants,16.0,387.0,1060.0,5.0,2003
Atlanta Falcons,16.0,422.0,1043.0,5.9,2003
San Diego Chargers,16.0,441.0,1072.0,5.2,2003
Arizona Cardinals,16.0,452.0,993.0,5.5,2003
Avg Team,,333.3,1002.9,5.1,2003
League Total,,10666.0,32093.0,5.1,2003
Avg Tm/G,,20.8,62.7,5.1,2003
